iter	Passed	Remaining
0	139	139773
1	140	70315
2	143	47538
3	145	36174
4	146	29067
5	146	24351
6	149	21139
7	151	18805
8	153	16947
9	155	15427
10	159	14301
11	160	13252
12	164	12488
13	165	11670
14	166	10952
15	168	10332
16	170	9857
17	171	9365
18	173	8982
19	178	8742
20	180	8419
21	182	8106
22	184	7846
23	187	7629
24	189	7398
25	191	7169
26	192	6948
27	194	6738
28	195	6537
29	196	6350
30	197	6187
31	200	6057
32	201	5905
33	202	5756
34	203	5612
35	204	5478
36	205	5347
37	206	5226
38	207	5112
39	208	5003
40	209	4897
41	210	4790
42	210	4688
43	211	4594
44	212	4512
45	213	4429
46	214	4343
47	215	4264
48	215	4186
49	216	4111
50	217	4039
51	217	3968
52	218	3902
53	219	3838
54	219	3775
55	220	3713
56	220	3653
57	221	3595
58	221	3539
59	222	3485
60	222	3432
61	223	3383
62	224	3336
63	224	3289
64	225	3244
65	226	3199
66	226	3157
67	227	3119
68	228	3080
69	229	3043
70	229	3008
71	230	2973
72	231	2937
73	231	2902
74	232	2866
75	233	2833
76	233	2801
77	234	2771
78	235	2744
79	236	2716
80	236	2687
81	237	2659
82	237	2627
83	238	2598
84	238	2570
85	239	2542
86	239	2515
87	240	2489
88	240	2466
89	241	2443
90	242	2420
91	243	2398
92	243	2376
93	244	2353
94	244	2331
95	245	2310
96	246	2290
97	246	2269
98	247	2249
99	247	2230
100	248	2212
101	249	2193
102	249	2175
103	250	2157
104	251	2139
105	251	2121
106	252	2104
107	252	2087
108	253	2070
109	253	2054
110	254	2037
111	254	2020
112	255	2006
113	256	1991
114	258	1992
115	259	1980
116	260	1966
117	261	1954
118	262	1940
119	262	1926
120	263	1915
121	264	1902
122	265	1890
123	265	1878
124	266	1866
125	267	1853
126	267	1839
127	268	1827
128	269	1816
129	269	1806
130	272	1808
131	273	1799
132	274	1788
133	275	1777
134	275	1766
135	276	1755
136	276	1744
137	277	1734
138	278	1725
139	279	1716
140	280	1706
141	280	1694
142	281	1684
143	281	1675
144	282	1664
145	282	1654
146	283	1643
147	283	1634
148	284	1625
149	285	1618
150	286	1609
151	287	1601
152	287	1593
153	288	1584
154	289	1576
155	289	1568
156	290	1560
157	292	1557
158	293	1551
159	294	1544
160	294	1534
161	295	1526
162	295	1518
163	296	1510
164	296	1502
165	297	1494
166	297	1486
167	298	1478
168	298	1469
169	299	1462
170	300	1454
171	300	1448
172	301	1441
173	302	1434
174	302	1427
175	303	1420
176	304	1413
177	304	1406
178	305	1399
179	305	1392
180	306	1384
181	306	1377
182	306	1370
183	307	1363
184	308	1357
185	308	1351
186	309	1344
187	309	1338
188	310	1331
189	310	1325
190	311	1318
191	311	1312
192	312	1306
193	313	1300
194	313	1294
195	314	1288
196	314	1283
197	315	1278
198	316	1272
199	316	1267
200	317	1262
201	318	1256
202	318	1250
203	319	1245
204	319	1239
205	320	1233
206	320	1228
207	321	1222
208	321	1216
209	322	1211
210	322	1206
211	323	1201
212	323	1196
213	324	1191
214	324	1186
215	325	1181
216	326	1176
217	326	1171
218	327	1166
219	327	1161
220	328	1156
221	328	1152
222	329	1147
223	329	1142
224	330	1138
225	331	1134
226	331	1130
227	332	1125
228	333	1121
229	333	1117
230	334	1112
231	334	1108
232	335	1103
233	335	1098
234	336	1094
235	336	1089
236	337	1085
237	337	1080
238	338	1076
239	338	1073
240	339	1069
241	340	1065
242	340	1061
243	341	1057
244	341	1053
245	342	1049
246	342	1044
247	343	1040
248	343	1036
249	344	1032
250	344	1028
251	345	1024
252	345	1020
253	346	1018
254	347	1015
255	348	1011
256	348	1007
257	349	1003
258	349	1000
259	350	996
260	350	992
261	351	988
262	351	985
263	352	981
